id,distanceWeight,site,field,0_classification,1_classification,2_classification,3_classification,4_classification,5_classification,6_classification,7_classification,.geo
2_4,sig2,Lovelock,01,15862535.78410919,32317290.266793024,102611.11898709642,4898009.845901882,728.538922855212,3777502.629116763,6516367.765080809,13680246.772615004,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,sig2,Lovelock,02,16646529.94683214,23766405.67617793,403.83672533245647,3056655.2290267926,2526423.7046619523,2247253.250265632,19112046.231593058,9799599.98083767,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6,sig2,Fallon,01,30559720.82500215,18890148.937812753,3732294.103943695,5196343.764403065,552228.9051928612,1036170.3621691464,4346325.1307602925,12862941.00633667,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7,sig2,Fallon,02,22579925.93156988,40014398.03596118,628.8075480630704,2254.1708041332654,1106.2572100538284,1055613.741282275,14353.014986894976,13507668.903263386,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8,sig2,Fallon,03,3879384.0954764206,39002899.17485158,1954498.390161758,4847857.534500353,605149.044509021,3850928.1503442936,8525022.182855666,14510785.79528902,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9,sig2,Yerington,01,125303.19611585242,74509285.4805918,61.245304166248786,749.5757299718445,190.94550029594677,1706.2646358376655,8614.318700732067,2561631.1822149074,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_10,sig2,Yerington,02,23385150.634117704,15547951.251741253,1493972.4563489067,8031408.555878377,193083.18783156975,972443.4411993274,19577499.26893536,8005600.339419623,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_11,sig2,Yerington,03,20314171.122846343,20254953.39436667,498846.0830327933,1294450.0767243556,3159572.7150519267,980760.1691768332,24146986.047064375,6557870.995575045,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,sig3,Minden,01,957847.5865161504,267985887.99113253,26783680.745022375,3949895.4502380737,7154184.833995597,1582752.4840508634,16624568.862941718,13676915.572481455,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1,sig3,Minden,02,5389001.780403775,97389672.648847,442300.0171578618,13714753.831100428,6524192.510549407,1126549.41093113,212458542.32181847,1654653.8679751854,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2,sig3,Minden,03,197056615.4123841,118589935.35311776,8240.424419544335,7421878.202885288,213425.24033587865,1229.4214389612798,7303059.444929357,8108573.024725128,"{""type"":""MultiPoint"",""coordinates"":[]}"
