0_cluster,1_cluster,2_cluster,3_cluster,4_cluster,5_cluster,6_cluster
2.2317686490080985E8,1.0479181143232788E8,2.2918831628767993E7,1.5656503187238747E8,6.972144351989755E7,1.4193705463611826E8,9.27674127358605E7
2.9975819500927216E8,1.729900875704479E8,1.0416165601701405E7,2.1126096994075605E8,3.713507183587735E7,2.51671301773046E7,9.719532124751985E8
1.138557371161256E9,3.370878233557665E7,2276201.8893764243,3.689524983863389E8,3.992007975817086E7,273541.6037574423,1.4499234415043017E8
4.939378489298033E8,5.8074012539851956E7,1758535.6540116775,9.995225832754965E8,4.941615922242688E7,540874.9353466518,1.2542752495859365E8
1.2753206648162396E8,4.059277873078506E7,805097.7863582876,4.2575238372329104E8,4.251602262785689E7,9.636219914043382E7,9.948983433598905E8
2.354184039970094E8,5.0553914665859646E8,2.4170989337007532E8,1.877361431806805E8,1.8801843793895543E8,1.2480351925802695E7,3.5755915667010844E8
5.705547964174328E8,2.0898847302746508E8,2.7345530565465853E7,3.0386967842255044E8,3.330607326700183E8,1334786.4824444156,2.8330380953907084E8
4.1175516267590195E8,8.226536073557684E7,2318923.728447549,4.417064742908504E8,1.9932094892050433E8,5.110548993147343E7,5.401133531070569E8
1.616236476452521E8,5.134701959931533E7,648089.0003960279,6.512720497830303E8,2.0034706322955677E8,8.970755887361199E7,5.736415095560998E8
5.3069189056341493E8,3.283536514005386E8,4.796696701179029E7,2.4320797554983312E8,1.1120906413378061E8,2.1681448320272E8,2.5033824300904477E8
6.28207908176208E8,8.129233244191763E7,8329186.554799692,2.3515448193026176E8,1.021769511347374E8,5.684982877760415E8,1.049971328562301E8
5.1587264151013315E8,2.7251052219063413E8,9.607820631036867E7,8.828229080679078E7,2.1714446438234892E8,3.8272922613218325E8,1.5604150773786348E8
4.3419107922875667E8,3.04126524792476E8,1.1282308386134747E8,3.225982092400352E8,1.1005880771247764E8,3.135777163785998E8,1.3128260710318443E8
