system:index,0_classification,1_classification,2_classification,3_classification,4_classification,5_classification,6_classification,7_classification
2_11,3313666.7110641925,5825601.772243413,2.651173208170899,1575643.2077278853,514049.8356199547,268376.2823962647,2384391.8555589267,1208666.4292910383
3_0,190237.4051082367,5.506029222578913E7,4202130.432866509,2210931.7680996405,1727572.1904684752,139288.30193084656,8292008.264576746,5376895.818772031
3_1,10845.380944133562,2.8579415938213106E7,62.587548196365475,1.2425119495763388E7,1555452.642940802,14.471332158273334,3.4628446346405484E7,6.414247539911106
3_2,5.8414807711253345E7,1.4070542906271668E7,0.13546070332770677,3135858.8568525123,0.0959471179063576,0.020903565857907015,204629.88619433666,1373348.5501403394
3_3,2.5057452751599435E7,3.3010927348318763E7,58358.064540060346,3321785.9119780394,1452111.5688361374,936143.167324767,7032562.660789203,6319617.56578853
3_4,1.9278133819881454E7,2.831351131918274E7,2805.5899148718786,5014770.823391812,3.220069618130586,5240854.76141588,5848863.611068798,1.3490113218592228E7
3_5,2.3179860134993643E7,1.800941046553761E7,266.24054331570363,3604468.6774581415,3195251.609791753,2713410.9320190027,1.983845670905737E7,6647804.424539566
3_6,3.841397537436856E7,1.3353032977971187E7,3645524.31791101,7714098.032682128,573506.2876394374,1385696.7577596495,1763066.393140468,1.034597933274655E7
3_7,2.8002041767015472E7,3.602586257495764E7,488.60489083299035,5879.274637860153,927.5330426982899,526577.9761315467,9745.449269342005,1.262341606949224E7
3_8,1.261195025581735E7,3.1199751420685057E7,2044801.1619039385,6943719.286487416,103528.13561512802,3781831.0183305526,7062140.620511818,1.344697698090169E7
3_9,3710.779552172162,7.717334607000227E7,25.439655466973292,1586.2784052282504,118.93553154261751,2019.9524859886972,7401.4571080681235,9963.159577576036
3_10,1.8232221420556933E7,1.9754882815871395E7,527215.1954468152,1.2197007702125965E7,48.17124986763526,5002802.296393341,1.670663524779382E7,4777482.029377878
3_11,2.522646583388739E7,1.5901027363775894E7,17691.93025369007,5431373.99313604,1055278.6996128275,1029569.739538524,2.3038262820847277E7,5498598.044741521
4_0,5481814.8905419465,2.6417805614502352E8,2.2374760813650995E7,1.1720045226140134E7,3447164.3289484596,950933.8902268312,1.765101366817835E7,1.2707515821779218E7
4_1,2261204.0234491103,1.017461119666051E8,210070.55538054407,3.3154423626059603E7,2.596357082495699E7,56678.83574537597,1.7509066860888767E8,28606.46352182697
4_2,2.4908191883867067E8,6.834612875792015E7,5147.305582756717,9237232.69662439,1212.4431909015516,1599.457195935976,5139187.52625334,6698140.026709388
4_3,1.0334494064675404E8,1.454625534868498E8,556089.3988076854,1.4936734060650812E7,1.1620038678098215E7,4382208.669098692,3.292190420738281E7,2.524124426482933E7
4_4,9.900781254671814E7,1.105721491602188E8,725454.5504818332,1.7402816817188412E7,20220.409593666245,1.765325665337694E7,5.1272078444050334E7,4.18123515872201E7
4_5,1.0241432396176039E8,7.230319176285988E7,389043.8885747683,1.1113611514598453E7,2.9482998034273706E7,1.5405258796150465E7,7.53023769335872E7,3.205477765083847E7
4_6,1.7294724944630802E8,6.4080006443474606E7,6115300.616162821,1.8062141018596128E7,5142388.907055028,6859986.86705794,1.579890633630447E7,4.948569427914672E7
4_7,1.3288053228023115E8,1.3119169183234744E8,483484.5935718851,3350637.9469086602,1427750.2414253072,1132551.5125525277,6382030.347309327,6.164325724597021E7
4_8,4.926179427126416E7,1.0157155284619659E8,1.7286710964593116E7,5.788895834892972E7,4683503.887919266,1.0099617944506198E7,4.783126346505978E7,4.98674802839364E7
4_9,4436967.283966646,3.122495702550821E8,153185.50680697145,3742523.917399238,293059.1553633652,1784091.3193303463,1.0505637108297866E7,5341076.993094792
4_10,1.1207766100178032E8,8.776737419409831E7,8173247.758928966,3.482213274803069E7,130869.36360531226,1.6062503101123841E7,6.3597127575569324E7,1.5875734365868162E7
4_11,9.937735374289095E7,6.3040543785511054E7,3096613.8665723177,2.6542827747509733E7,4703630.831139245,4496099.744077936,1.140102014111643E8,2.323926294125439E7
5_0,3.829164888825091E7,6.119410697514886E8,5.236186280576555E7,3.948194740181828E7,6498661.308884927,2114785.929349743,3.652139224482617E7,2.467852059879198E7
5_1,9271838.90294806,2.2548320229353145E8,3820128.2230237075,5.195932616276992E7,7.199698936962448E7,897137.4386037267,4.479382651353005E8,523073.2227943179
5_2,5.632642535932131E8,1.7016271032804862E8,570757.1284647062,2.7644757354345236E7,54974.22726466733,241102.07254923193,2.555846623592277E7,2.439109979981717E7
